,station_train_code,train_no,class,on,off
8146,K7921(呼和浩特-锡林浩特),33000K792005,K,呼和浩特,锡林浩特
8147,K7922(锡林浩特-呼和浩特),34000K792203,K,锡林浩特,呼和浩特
8148,K7927(锡林浩特-二连),34000K792705,K,锡林浩特,二连
8149,K7928(二连-锡林浩特),33000K792805,K,二连,锡林浩特
8150,K7931(包头东-包头 东),33000K793101,K,包头东,包头 东
8151,K7937(包头东-包头 东),33000K793701,K,包头东,包头 东
8152,K7959(安阳-郑州),38000K795904,K,安阳,郑州
8153,K7960(郑州-安阳),38000K796004,K,郑州,安阳
8154,K7965(郑州-濮阳),38000K796802,K,郑州,濮阳
8155,K7966(濮阳-郑州),38000K796601,K,濮阳,郑州
8156,K7967(濮阳-郑州),38000K796601,K,濮阳,郑州
8157,K7968(郑州-濮阳),38000K796802,K,郑州,濮阳
8158,K7971(新乡-郑州),38000K797103,K,新乡,郑州
8159,K7993(新乡-郑州),38000K799302,K,新乡,郑州
8160,K7994(郑州-新乡),38000K799403,K,郑州,新乡
8161,K8002(郑州-商丘),38000K800205,K,郑州,商丘
8162,K8035(新乡-郑州),38000K803501,K,新乡,郑州
8163,K8051(襄阳-宜昌东),42000K805103,K,襄阳,宜昌东
8164,K8068(十堰-襄阳),42000K80684J,K,十堰,襄阳
8165,K8069(襄阳-十堰),42000K806903,K,襄阳,十堰
8166,K8081(十堰-武昌),42000K808407,K,十堰,武昌
8167,K8082(武昌-十堰),39000K808207,K,武昌,十堰
8168,K8083(武昌-十堰),39000K808207,K,武昌,十堰
8169,K8084(十堰-武昌),42000K808407,K,十堰,武昌
8170,K8091(荆门-武昌),42000K809480,K,荆门,武昌
8171,K8092(武昌-荆门),39000K809200,K,武昌,荆门
8172,K8093(武昌-荆门),39000K809200,K,武昌,荆门
8173,K8094(荆门-武昌),42000K809480,K,荆门,武昌
8174,K8102(荆门-汉口),42000K81020Q,K,荆门,汉口
8175,K8103(汉口-荆门),39000K81030H,K,汉口,荆门
8176,K8113(荆门-武昌),42000K811604,K,荆门,武昌
8177,K8114(武昌-荆门),39000K811406,K,武昌,荆门
8178,K8115(武昌-荆门),39000K811406,K,武昌,荆门
8179,K8116(荆门-武昌),42000K811604,K,荆门,武昌
8180,K8123(襄阳-荆门),42000K812309,K,襄阳,荆门
8181,K8124(荆门-襄阳),42000K812408,K,荆门,襄阳
8182,K8155(西安-宝鸡),41000K81550E,K,西安,宝鸡
8183,K8156(宝鸡-西安),41000K815607,K,宝鸡,西安
8184,K8157(西安-宝鸡),41000K815710,K,西安,宝鸡
8185,K8158(宝鸡-西安),41000K81580P,K,宝鸡,西安
8186,K8159(西安-宝鸡),41000K815908,K,西安,宝鸡
8187,K8160(宝鸡-西安),41000K816007,K,宝鸡,西安
8188,K8165(榆林-宝鸡),4a000K81650D,K,榆林,宝鸡
8189,K8168(宝鸡-榆林),41000K81680D,K,宝鸡,榆林
8190,K8173(西安-略阳),41000K81730B,K,西安,略阳
8191,K8174(略阳-西安),41000K817407,K,略阳,西安
